Cruise	Latitude	Longitude	T7-Like B	T7-Like A	T7-tot	T4 like	Tot V	%I Syn T7 B	%I Syn T7 A	%I Syn T7	%I T4 Syn	%I Syn Tot	%I Pro T7 B	%I Pro T7 A	%I T7 	%I T4 Pro	%I Pro Tot
"G1"	35.68	-158.00	1.88E+05	1.65E+02	1.88E+05	1.48E+05	3.36E+05	0.24	0.01	0.25	0.31	0.55	0.25	0.04	0.29	0.26	0.30
"G1"	37.30	-157.99	4.96E+04	5.73E+02	5.02E+04	9.08E+04	1.41E+05	0.26	0.03	0.29	0.35	0.63	0.28	0.05	0.33	0.38	0.43
"G1"	37.84	-158.00	3.46E+04	2.43E+02	3.48E+04	8.60E+04	1.21E+05	0.25	0.02	0.27	0.10	0.37	0.00	0.00	0.00	0.00	0.00
"G1"	37.47	-158.00	4.94E+04	1.33E+02	4.96E+04	8.26E+04	1.32E+05	0.21	0.14	0.35	0.54	0.89	0.00	0.00	0.00	0.00	0.00
"G1"	36.57	-158.00	6.35E+04	2.65E+02	6.38E+04	5.86E+04	1.22E+05	0.03	0.05	0.08	0.29	0.36	0.38	0.00	0.38	0.69	0.69
"G1"	36.67	-157.92	3.54E+04	1.21E+02	3.55E+04	5.93E+04	9.48E+04	0.41	0.07	0.48	0.25	0.72	0.00	0.00	0.00	0.00	0.00
"G1"	35.47	-157.98	1.30E+05	1.99E+02	1.31E+05	1.29E+05	2.60E+05	0.22	0.02	0.23	0.28	0.51	0.24	0.01	0.24	0.45	0.46
"G1"	35.56	-157.91	1.86E+05	1.88E+02	1.87E+05	1.88E+05	3.75E+05	0.25	0.02	0.27	0.21	0.47	0.25	0.00	0.25	0.44	0.44
"G1"	36.57	-158.00	5.58E+04	3.86E+02	5.61E+04	7.47E+04	1.31E+05	0.17	0.02	0.19	0.22	0.41	0.00	0.00	0.00	0.00	0.00
"G1"	36.05	-157.99	3.04E+05	5.76E+02	3.04E+05	2.01E+05	5.05E+05	0.08	0.08	0.16	0.46	0.62	0.32	0.03	0.35	0.94	0.97
"G1"	35.07	-158.01	7.57E+04	1.44E+02	7.59E+04	1.09E+05	1.84E+05	0.24	0.00	0.24	0.23	0.47	0.27	0.13	0.40	0.48	0.61
"G1"	34.75	-158.00	3.70E+05	6.54E+02	3.71E+05	4.28E+05	7.99E+05	0.11	0.03	0.13	0.41	0.54	0.37	0.02	0.39	1.03	1.05
"G1"	33.09	-158.00	8.20E+05	1.21E+03	8.21E+05	5.71E+05	1.39E+06	0.26	0.04	0.30	0.66	0.96	0.35	0.06	0.41	1.04	1.10
"G1"	29.70	-158.00	2.31E+05	2.32E+02	2.31E+05	4.00E+05	6.31E+05	0.28	0.00	0.28	0.28	0.56	0.28	0.06	0.33	0.27	0.33
"G1"	28.97	-157.99	2.99E+05	4.08E+02	2.99E+05	3.52E+05	6.51E+05	0.21	0.02	0.23	0.31	0.54	0.23	0.03	0.26	0.22	0.25
"G1"	28.00	-158.00	2.36E+05	1.98E+02	2.36E+05	3.57E+05	5.93E+05	0.17	0.01	0.18	0.26	0.44	0.21	0.02	0.22	0.44	0.45
"G2"	25.77	-158.02	4.19E+04	1.05E+02	2.66E+05	9.52E+01	2.66E+05	0.54	0.03	0.57	0.41	0.97	0.53	0.12	0.66	0.49	0.62
"G2"	29.65	-158.00	6.54E+04	7.33E+02	2.19E+05	1.19E+02	2.19E+05	0.44	0.02	0.46	0.65	1.11	0.34	0.02	0.36	0.52	0.54
"G2"	30.30	-158.00	2.74E+04	1.39E+02	1.43E+05	7.14E+01	1.43E+05	0.53	0.00	0.53	0.74	1.27	0.20	0.07	0.27	0.69	0.76
"G2"	31.00	-158.00	7.04E+04	9.09E+02	1.95E+05	2.86E+02	1.95E+05	0.26	0.02	0.28	0.64	0.92	0.25	0.03	0.28	0.43	0.46
"G2"	31.74	-158.00	1.43E+05	1.12E+03	2.15E+05	6.78E+02	2.16E+05	0.50	0.04	0.55	0.85	1.40	0.86	0.01	0.88	1.27	1.29
"G2"	32.26	-158.01	1.20E+05	8.14E+02	2.17E+05	2.38E+02	2.18E+05	0.54	0.06	0.60	0.73	1.32	0.40	0.03	0.43	0.54	0.57
"G2"	32.75	-158.01	1.20E+05	9.38E+02	1.50E+05	2.38E+02	1.51E+05	0.60	0.03	0.62	0.69	1.31	0.88	0.02	0.90	0.51	0.53
"G2"	33.45	-158.01	1.99E+05	2.16E+03	2.57E+05	5.59E+02	2.58E+05	0.50	0.06	0.56	0.92	1.48	4.03	0.02	4.05	1.32	1.34
"G2"	34.14	-158.00	7.37E+05	2.05E+04	4.66E+05	9.16E+02	4.67E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	34.85	-158.01	8.54E+05	2.95E+04	6.77E+05	8.21E+02	6.78E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	35.47	-158.00	9.21E+05	4.78E+04	6.02E+05	5.24E+02	6.02E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	36.07	-158.00	1.11E+06	5.73E+04	6.21E+05	1.48E+03	6.23E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	36.52	-158.01	1.26E+06	6.44E+04	6.34E+05	2.21E+03	6.36E+05	3.12	0.42	3.54	1.82	5.36	4.01	0.38	4.39	1.63	2.01
"G2"	37.28	-158.00	1.18E+06	8.86E+04	5.26E+05	3.50E+03	5.30E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
"G2"	37.90	-158.00	1.22E+06	2.19E+05	5.55E+05	4.82E+03	5.59E+05	NA	NA	NA	NA	NA	NA	NA	NA		NA
